Day,Weekday,Race Number,Post Position,M/L Odds,Finish,Final Odds
1,Friday,1,1,3.5,1,1.88
1,Friday,1,2,15,6,12.46
1,Friday,1,3,4.5,7,6.91
1,Friday,1,4,8,S,S
1,Friday,1,5,12,3,6.56
1,Friday,1,6,20,S,S
1,Friday,1,7,6,4,9.39
1,Friday,1,8,6,2,2.99
1,Friday,1,9,2.5,5,5.07
1,Friday,2,1,20,5,14.21
1,Friday,2,2,30,3,31.84
1,Friday,2,3,6,2,5.85
1,Friday,2,4,30,S,S
1,Friday,2,5,5,S,S
1,Friday,2,6,20,6,17.75
1,Friday,2,7,12,9,47.19
1,Friday,2,8,30,8,23.72
1,Friday,2,9,1.8,S,S
1,Friday,2,10,15,7,8.35
1,Friday,2,11,10,4,21.01
1,Friday,2,12,4,1,0.46
1,Friday,2,13,8,S,S
1,Friday,3,1,3,3,5.45
1,Friday,3,2,12,4,13.31
1,Friday,3,3,2,1,2.5
1,Friday,3,4,20,9,62.94
1,Friday,3,5,6,6,3.32
1,Friday,3,6,4,2,2.69
1,Friday,3,7,20,7,32.65
1,Friday,3,8,8,8,11.55
1,Friday,3,9,15,5,17.48
1,Friday,3,10,8,S,S
1,Friday,4,1,3,1,2.8
1,Friday,4,2,20,6,60.78
1,Friday,4,3,15,8,23.41
1,Friday,4,4,20,7,36.93
1,Friday,4,5,6,5,16.53
1,Friday,4,6,10,2,3.55
1,Friday,4,7,4,9,6.54
1,Friday,4,8,10,S,S
1,Friday,4,9,3.5,4,6.21
1,Friday,4,10,8,3,2.36
1,Friday,5,1,6,4,13.72
1,Friday,5,2,3.5,S,S
1,Friday,5,3,15,2,12.9
1,Friday,5,4,20,3,25.37
1,Friday,5,5,8,1,2.31
1,Friday,5,6,15,10,29.12
1,Friday,5,7,4.5,6,3.29
1,Friday,5,8,20,11,82.34
1,Friday,5,9,30,7,66.04
1,Friday,5,10,15,8,9.01
1,Friday,5,11,8,5,3.8
1,Friday,5,12,4,9,8.05
1,Friday,5,13,6,S,S
1,Friday,6,1,20,3,49.79
1,Friday,6,2,3.5,S,S
1,Friday,6,3,2.5,4,1.57
1,Friday,6,4,50,6,80.4
1,Friday,6,5,1.8,5,1.21
1,Friday,6,6,8,1,5.78
1,Friday,6,7,6,2,5.66
1,Friday,6,8,12,7,44.63
1,Friday,7,1,30,3,21.09
1,Friday,7,2,10,S,S
1,Friday,7,3,8,1,4.45
1,Friday,7,4,4.5,2,1.95
1,Friday,7,5,10,8,15.43
1,Friday,7,6,30,4,64.01
1,Friday,7,7,20,S,S
1,Friday,7,8,20,S,S
1,Friday,7,9,2.5,6,1.82
1,Friday,7,10,3.5,S,S
1,Friday,7,11,10,7,10.69
1,Friday,7,12,20,5,8.27
1,Friday,8,1,12,11,9.88
1,Friday,8,2,5,8,25.98
1,Friday,8,3,20,3,31.75
1,Friday,8,4,10,1,13.41
1,Friday,8,5,15,12,14.42
1,Friday,8,6,4,9,4.22
1,Friday,8,7,8,4,33.51
1,Friday,8,8,4.5,5,3.38
1,Friday,8,9,15,7,43.89
1,Friday,8,10,12,6,5.13
1,Friday,8,11,8,10,8.74
1,Friday,8,12,10,2,5.23
1,Friday,8,13,10,S,S
1,Friday,8,14,12,S,S
1,Friday,9,1,6,4,1.64
1,Friday,9,2,30,5,55.11
1,Friday,9,3,4,1,9.45
1,Friday,9,4,8,8,17.06
1,Friday,9,5,10,6,53.75
1,Friday,9,6,3,2,4.63
1,Friday,9,7,2,3,2.02
1,Friday,9,8,8,7,7.52
1,Friday,10,1,8,3,5.04
