,Day,Weekday,Race Number,Post Position,M/L Odds,Finish,Final Odds,Change In Odds,ML_Odds_Split,F_Odds_Split,Diff_Odds_Split
0,1,Friday,1,1,3.5,1,1.88,1.62,2,1,1
1,1,Friday,1,2,15.0,6,12.46,2.54,4,4,2
2,1,Friday,1,3,4.5,7,6.91,2.41,2,3,2
4,1,Friday,1,5,12.0,3,6.56,5.44,4,3,3
6,1,Friday,1,7,6.0,4,9.39,3.39,3,3,2
7,1,Friday,1,8,6.0,2,2.99,3.01,3,2,2
8,1,Friday,1,9,2.5,5,5.07,2.57,2,3,2
9,1,Friday,2,1,20.0,5,14.21,5.79,5,4,3
10,1,Friday,2,2,30.0,3,31.84,1.84,6,7,1
11,1,Friday,2,3,6.0,2,5.85,0.15,3,3,1
14,1,Friday,2,6,20.0,6,17.75,2.25,5,5,2
15,1,Friday,2,7,12.0,9,47.19,35.19,4,7,7
16,1,Friday,2,8,30.0,8,23.72,6.28,6,6,3
18,1,Friday,2,10,15.0,7,8.35,6.65,4,3,3
19,1,Friday,2,11,10.0,4,21.01,11.01,3,6,4
20,1,Friday,2,12,4.0,1,0.46,3.54,2,1,2
22,1,Friday,3,1,3.0,3,5.45,2.45,2,3,2
23,1,Friday,3,2,12.0,4,13.31,1.31,4,4,1
24,1,Friday,3,3,2.0,1,2.5,0.5,1,2,1
25,1,Friday,3,4,20.0,9,62.94,42.94,5,8,7
26,1,Friday,3,5,6.0,6,3.32,2.68,3,2,2
27,1,Friday,3,6,4.0,2,2.69,1.31,2,2,1
28,1,Friday,3,7,20.0,7,32.65,12.65,5,7,4
29,1,Friday,3,8,8.0,8,11.55,3.55,3,4,2
30,1,Friday,3,9,15.0,5,17.48,2.48,4,5,2
32,1,Friday,4,1,3.0,1,2.8,0.2,2,2,1
33,1,Friday,4,2,20.0,6,60.78,40.78,5,8,7
34,1,Friday,4,3,15.0,8,23.41,8.41,4,6,3
35,1,Friday,4,4,20.0,7,36.93,16.93,5,7,5
36,1,Friday,4,5,6.0,5,16.53,10.53,3,5,4
37,1,Friday,4,6,10.0,2,3.55,6.45,3,2,3
38,1,Friday,4,7,4.0,9,6.54,2.54,2,3,2
40,1,Friday,4,9,3.5,4,6.21,2.71,2,3,2
41,1,Friday,4,10,8.0,3,2.36,5.64,3,2,3
42,1,Friday,5,1,6.0,4,13.72,7.72,3,4,3
44,1,Friday,5,3,15.0,2,12.9,2.1,4,4,2
