,Day,Weekday,Race Number,Post Position,M/L Odds,Final Odds,Change In Odds,Distance,FieldSize,Favorite,HalfMileTime,FinalTime,WinnersTrainer,WinnersJockey,ExactaPayout,SuperfectaPayout,TrifectaPayout
0,1,Friday,1,1,3.5,1.88,-1.62,7.0,7,Y,45.99,88.86,Dutrow Jr. Richard                                                                                                     ,Ortiz Jr. Irad                                                                                                         ,10.46,29.61,32.21
1,1,Friday,2,12,4.0,0.46,-3.54,4.5,9,Y,45.16,52.04,Ward Wesley                                                                                                            ,Gaffalione Tyler                                                                                                       ,6.39,38.87,33.71
2,1,Friday,3,3,2.0,2.5,0.5,5.5,9,Y,45.16,63.27,Oliver Victoria                                                                                                        ,Saez Luis                                                                                                              ,11.55,22.67,24.34
3,1,Friday,4,1,3.0,2.8,-0.2,7.0,9,N,45.63,84.56,Pletcher Todd                                                                                                          ,Gaffalione Tyler                                                                                                       ,17.76,19.36,25.43
4,1,Friday,5,5,8.0,2.31,-5.69,9.5,11,Y,49.02,118.86,DeVaux Cherie                                                                                                          ,Ortiz Jr. Irad                                                                                                         ,31.75,237.45,180.38
5,1,Friday,6,6,8.0,5.78,-2.22,7.0,7,N,44.98,82.91,Anderson Doug                                                                                                          ,Saez Luis                                                                                                              ,30.43,105.62,186.22
6,1,Friday,7,3,8.0,4.45,-3.55,6.5,8,N,45.16,77.57,Bauer Philip                                                                                                           ,Garcia Martin                                                                                                          ,17.58,109.98,46.84
7,1,Friday,8,4,10.0,13.41,3.41,8.5,12,N,48.78,104.93,Atras Rob                                                                                                              ,Gutierrez Reylu                                                                                                        ,102.83,2253.88,901.94
8,1,Friday,9,3,4.0,9.45,5.45,8.5,8,N,48.27,103.85,Pletcher Todd                                                                                                          ,Ortiz Jr. Irad                                                                                                         ,56.92,49.55,105.6
9,1,Friday,10,12,15.0,13.51,-1.49,9.5,11,N,47.82,118.73,Thomas Jonathan                                                                                                        ,Geroux Florent                                                                                                         ,88.61,316.98,263.05
10,2,Saturday,1,5,4.5,3.05,-1.45,8.5,7,N,48.8,105.82,McPeek Kenneth                                                                                                         ,Hernandez Jr. Brian                                                                                                    ,39.42,39.64,89.2
11,2,Saturday,2,2,10.0,3.64,-6.36,6.0,6,N,45.71,70.53,Mott William                                                                                                           ,Alvarado Junior                                                                                                        ,22.25,24.88,55.73
12,2,Saturday,3,6,1.2,0.85,-0.35,7.0,12,Y,45.54,83.27,Cox Brad                                                                                                               ,Geroux Florent                                                                                                         ,11.34,151.64,78.7
13,2,Saturday,4,6,4.0,5.49,1.49,6.0,7,N,45.62,70.0,Walsh Brendan                                                                                                          ,Ortiz Jr. Irad                                                                                                         ,33.55,67.66,58.75
14,2,Saturday,5,2,6.0,3.88,-2.12,9.5,12,N,46.61,117.75,Brown Chad                                                                                                             ,Ortiz Jose                                                                                                             ,32.37,263.07,297.21
15,2,Saturday,6,6,12.0,6.06,-5.94,7.0,7,N,46.32,82.94,Stall Jr. Albert                                                                                                       ,Ortiz Jose                                                                                                             ,24.83,27.4,35.83
16,2,Saturday,7,9,4.0,6.52,2.52,8.0,12,N,47.25,96.36,Bauer Philip                                                                                                           ,Garcia Martin                                                                                                          ,441.97,4865.85,1541.61
17,2,Saturday,8,6,2.5,2.16,-0.34,7.0,8,Y,45.01,83.36,Brinkman Brett                                                                                                         ,Gaffalione Tyler                                                                                                       ,9.6,14.81,18.73
18,2,Saturday,9,6,4.0,3.62,-0.38,5.5,12,N,44.73,62.93,Trombetta Michael                                                                                                      ,Ortiz Jr. Irad                                                                                                         ,18.4,228.76,147.16
19,2,Saturday,10,10,2.0,1.66,-0.34,9.0,10,Y,46.48,110.08,Brown Chad                                                                                                             ,Gaffalione Tyler                                                                                                       ,9.96,57.15,86.78
20,2,Saturday,11,3,1.6,1.52,-0.08,8.5,7,Y,48.97,102.96,Brown Chad                                                                                                             ,Gaffalione Tyler                                                                                                       ,14.9,12.74,17.49
21,3,Sunday,1,12,20.0,45.37,25.37,4.5,11,N,45.84,52.44,Acevedo Israel                                                                                                         ,Calleja Andres                                                                                                         ,212.09,427.16,836.64
22,3,Sunday,2,1,30.0,7.3,-22.7,6.0,7,N,46.39,71.12,Thompson Michael                                                                                                       ,Cannon Declan                                                                                                          ,28.39,56.72,46.23
23,3,Sunday,3,8,15.0,1.64,-13.36,7.0,10,Y,46.52,87.6,Walden William                                                                                                         ,Gaffalione Tyler                                                                                                       ,19.9,38.03,50.67
24,3,Sunday,4,9,3.0,3.71,0.71,8.5,8,N,48.33,105.85,Ward Wesley                                                                                                            ,Velazquez John                                                                                                         ,35.66,106.76,105.38
25,3,Sunday,5,4,3.5,2.07,-1.43,5.5,12,Y,45.44,63.24,Casse Mark                                                                                                             ,Ortiz Jose                                                                                                             ,9.17,24.34,26.13
26,3,Sunday,6,5,2.0,1.23,-0.77,8.5,12,Y,47.5,106.28,Mott William                                                                                                           ,Ortiz Jose                                                                                                             ,54.38,600.13,303.36
27,3,Sunday,7,6,12.0,7.75,-4.25,5.5,12,N,44.53,62.83,Ward Wesley                                                                                                            ,Ortiz Jose                                                                                                             ,123.14,347.88,644.27
28,3,Sunday,8,1,3.5,1.79,-1.71,7.0,6,N,46.41,86.54,Cox Brad                                                                                                               ,Prat Flavien                                                                                                           ,18.3,14.98,21.76
29,3,Sunday,9,9,4.5,9.34,4.84,8.0,12,N,47.75,96.25,Wilkes Ian                                                                                                             ,Saez Luis                                                                                                              ,57.28,216.12,126.94
30,4,Wednesday,1,9,6.0,4.32,-1.68,6.0,7,N,46.08,72.68,Sharp Joe                                                                                                              ,Gaffalione Tyler                                                                                                       ,50.13,25.31,62.52
31,4,Wednesday,2,1,2.0,1.13,-0.87,4.5,12,Y,45.65,52.17,Ward Wesley                                                                                                            ,Velazquez John                                                                                                         ,14.76,528.62,187.88
32,4,Wednesday,3,3,3.5,3.58,0.08,6.0,5,N,45.41,71.12,Watkins James                                                                                                          ,McKee John                                                                                                             ,10.66,0.0,17.27
33,4,Wednesday,4,12,2.0,1.87,-0.13,9.0,9,Y,47.31,112.84,McPeek Kenneth                                                                                                         ,Hernandez Jr. Brian                                                                                                    ,28.24,45.37,39.3
34,4,Wednesday,5,10,1.6,2.17,0.57,6.0,10,N,46.19,72.36,Rodriguez Jose                                                                                                         ,Giles Emmanuel                                                                                                         ,70.78,109.37,111.56
35,4,Wednesday,6,4,10.0,5.48,-4.52,8.0,6,N,47.74,98.16,Sweezey J.                                                                                                             ,Cheminaud Vincent                                                                                                      ,15.87,9.81,19.77
36,4,Wednesday,7,2,3.0,2.85,-0.15,8.5,6,N,47.02,104.01,Mott Riley                                                                                                             ,Alvarado Junior                                                                                                        ,11.16,9.74,12.26
37,4,Wednesday,8,7,4.5,0.65,-3.85,8.5,5,Y,48.09,104.14,DeVaux Cherie                                                                                                          ,Ortiz Jose                                                                                                             ,4.35,0.0,6.34
38,5,Thursday,1,8,3.5,1.89,-1.61,8.5,6,Y,48.17,106.61,Sharp Joe                                                                                                              ,Ortiz Jr. Irad                                                                                                         ,9.86,7.08,11.81
39,5,Thursday,2,9,1.6,0.54,-1.06,4.5,7,Y,46.41,52.86,Ward Wesley                                                                                                            ,Rodriguez Walter                                                                                                       ,9.62,6.85,11.02
40,5,Thursday,3,10,3.0,4.75,1.75,9.0,10,N,48.51,118.67,McPeek Kenneth                                                                                                         ,Leparoux Julien                                                                                                        ,132.46,258.19,255.48
41,5,Thursday,4,8,1.0,0.27,-0.73,6.5,5,Y,44.87,76.65,Mott William                                                                                                           ,Alvarado Junior                                                                                                        ,9.76,0.0,6.02
42,5,Thursday,5,2,10.0,7.13,-2.87,8.5,10,N,47.71,105.62,Danner Kelsey                                                                                                          ,Beschizza Adam                                                                                                         ,47.08,250.92,92.35
43,5,Thursday,6,2,12.0,2.61,-9.39,8.5,6,N,47.73,106.13,Lynch Brian                                                                                                            ,Alvarado Junior                                                                                                        ,33.81,47.36,65.04
44,5,Thursday,7,5,15.0,6.0,-9.0,8.5,8,N,47.11,106.82,Humphries Tommy                                                                                                        ,Machado Luan                                                                                                           ,34.03,154.03,81.18
45,5,Thursday,8,4,10.0,1.64,-8.36,9.0,6,Y,48.02,110.67,Vaccarezza Carlo                                                                                                       ,Rosario Joel                                                                                                           ,26.31,32.69,43.48
46,5,Thursday,9,9,15.0,5.14,-9.86,8.5,9,N,47.32,107.97,Maker Michael                                                                                                          ,Gaffalione Tyler                                                                                                       ,77.71,191.12,185.34
47,6,Friday,1,6,2.5,2.11,-0.39,6.0,8,N,44.67,70.39,Vanden Berg Brittany                                                                                                   ,Loveberry Jareth                                                                                                       ,7.55,13.27,20.03
48,6,Friday,2,6,3.5,0.73,-2.77,7.0,12,Y,46.51,85.09,Cox Brad                                                                                                               ,Concepcion Axel                                                                                                        ,56.72,248.25,133.61
49,6,Friday,3,1,3.0,1.61,-1.39,9.0,6,Y,48.61,110.79,DeVaux Cherie                                                                                                          ,Hernandez Jr. Brian                                                                                                    ,10.65,29.73,21.78
50,6,Friday,4,2,1.2,0.69,-0.51,7.0,9,Y,44.95,83.52,Atras Rob                                                                                                              ,Ortiz Jr. Irad                                                                                                         ,7.8,44.86,23.35
51,6,Friday,5,10,8.0,1.2,-6.8,8.5,5,Y,48.28,106.26,Asmussen Steven                                                                                                        ,Dettori Lanfranco                                                                                                      ,5.23,0.0,7.55
52,6,Friday,6,2,4.5,1.17,-3.33,6.5,12,Y,44.77,77.59,Ward Wesley                                                                                                            ,Velazquez John                                                                                                         ,12.93,77.31,55.06
53,6,Friday,7,14,12.0,0.99,-11.01,5.5,8,Y,45.16,65.7,Lynch Brian                                                                                                            ,Ortiz Jose                                                                                                             ,8.7,13.33,21.72
54,6,Friday,8,5,3.5,7.38,3.88,7.0,11,N,44.61,82.95,Cox Brad                                                                                                               ,Concepcion Axel                                                                                                        ,28.46,435.17,298.88
55,6,Friday,9,4,0.8,0.77,-0.03,8.0,6,Y,49.2,97.1,Appleby Charles                                                                                                        ,Buick William                                                                                                          ,7.6,8.33,12.88
56,6,Friday,10,4,3.0,2.25,-0.75,8.5,9,Y,49.21,105.65,Casse Norm                                                                                                             ,Lanerie Corey                                                                                                          ,13.01,26.34,30.93
57,7,Saturday,1,1,4.0,1.39,-2.61,5.5,11,Y,45.3,64.74,Colebrook Ben                                                                                                          ,Machado Luan                                                                                                           ,17.15,69.95,20.5
58,7,Saturday,2,6,6.0,1.87,-4.13,7.0,6,Y,45.42,85.12,Colebrook Ben                                                                                                          ,Machado Luan                                                                                                           ,12.5,8.9,18.11
59,7,Saturday,3,5,12.0,14.46,2.46,7.0,9,N,45.61,87.88,Forster Grant                                                                                                          ,Gutierrez Reylu                                                                                                        ,75.01,206.18,115.61
60,7,Saturday,4,10,4.0,3.25,-0.75,6.5,9,N,45.89,78.65,Maker Michael                                                                                                          ,Saez Luis                                                                                                              ,18.34,101.33,123.27
61,7,Saturday,5,9,6.0,7.93,1.93,8.5,12,N,46.4,103.39,Attfield Roger                                                                                                         ,Geroux Florent                                                                                                         ,64.3,68.29,96.89
62,7,Saturday,6,1,6.0,7.06,1.06,8.5,6,N,48.65,104.55,Wilkes Ian                                                                                                             ,Hernandez Jr. Brian                                                                                                    ,55.73,14.87,46.96
63,7,Saturday,7,8,4.0,1.76,-2.24,5.5,12,Y,44.29,62.79,Clement Christophe                                                                                                     ,Ortiz Jr. Irad                                                                                                         ,21.46,123.15,66.81
64,7,Saturday,8,3,3.0,4.62,1.62,8.5,6,N,47.51,104.09,McPeek Kenneth                                                                                                         ,Leparoux Julien                                                                                                        ,48.66,59.58,119.31
65,7,Saturday,9,10,15.0,25.84,10.84,8.5,10,N,48.65,102.9,Brown Chad                                                                                                             ,Dettori Lanfranco                                                                                                      ,104.08,252.64,313.89
66,7,Saturday,10,8,5.0,3.31,-1.69,8.5,9,N,47.28,103.93,Cox Brad                                                                                                               ,Geroux Florent                                                                                                         ,10.59,101.66,83.77
67,7,Saturday,11,5,4.5,3.21,-1.29,8.5,11,Y,47.55,103.57,Mott William                                                                                                           ,Alvarado Junior                                                                                                        ,17.13,185.93,106.38
68,8,Sunday,1,5,8.0,10.47,2.47,7.0,9,N,45.51,84.53,Davis Christopher                                                                                                      ,Ortiz Jose                                                                                                             ,66.75,296.28,331.94
69,8,Sunday,2,9,4.0,1.47,-2.53,7.0,7,N,45.56,89.31,Murphy Conor                                                                                                           ,Prat Flavien                                                                                                           ,63.41,186.27,241.72
70,8,Sunday,3,1,3.5,0.96,-2.54,8.5,12,Y,46.29,102.65,Walsh Brendan                                                                                                          ,Gaffalione Tyler                                                                                                       ,9.26,71.11,49.92
71,8,Sunday,4,5,30.0,6.55,-23.45,7.0,6,N,47.48,86.68,Dunn Stephen                                                                                                           ,Concepcion Axel                                                                                                        ,13.18,18.6,21.25
72,8,Sunday,5,7,8.0,2.6,-5.4,12.0,11,Y,51.24,150.16,Correas IV Ignacio                                                                                                     ,Rosario Joel                                                                                                           ,19.1,28.43,53.74
